,wind: actuals,wind: forecasts,wind: Scenario 0,wind: Scenario 1
Probability,1,1,0.5,0.5
2013-01-01 00:00:00,13,35,7,0
2013-01-01 01:00:00,15,33,0,0
2013-01-01 02:00:00,18,27,0,0
2013-01-01 03:00:00,17,19,0,0
2013-01-01 04:00:00,17,16,0,0
2013-01-01 05:00:00,3,14,0,0
2013-01-01 06:00:00,2,15,0,0
2013-01-01 07:00:00,3,17,20,0
2013-01-01 08:00:00,2,20,0,0
2013-01-01 09:00:00,4,20,0,0
2013-01-01 10:00:00,18,18,0,0
2013-01-01 11:00:00,33,15,0,0
2013-01-01 12:00:00,32,14,0,0
2013-01-01 13:00:00,15,17,0,0
2013-01-01 14:00:00,4,25,0,0
2013-01-01 15:00:00,3,45,0,0
2013-01-01 16:00:00,13,72,25,7
2013-01-01 17:00:00,25,104,63,48
2013-01-01 18:00:00,23,138,95,47
2013-01-01 19:00:00,15,153,142,88
2013-01-01 20:00:00,9,146,128,96.4809592404
2013-01-01 21:00:00,8,116,84,8
2013-01-01 22:00:00,8,94,40.506517496,66
2013-01-01 23:00:00,12,81,52,47
