"datetimes","forecasts","actuals"
"7/1/13 0:00",0,0
"7/1/13 1:00",0,0
"7/1/13 2:00",0,0
"7/1/13 3:00",0,0
"7/1/13 4:00",0,0
"7/1/13 5:00",2,0
"7/1/13 6:00",38.87,32.26711
"7/1/13 7:00",181.82,105.49446
"7/1/13 8:00",356.91,269.99837
"7/1/13 9:00",502.4,346.79945
"7/1/13 10:00",603.78,490.9401
"7/1/13 11:00",698.77,631.39639
"7/1/13 12:00",651.41,665.52488
"7/1/13 13:00",656.62,599.68008
"7/1/13 14:00",649.82,624.65212
"7/1/13 15:00",607.59,560.43461
"7/1/13 16:00",414.47,398.2649
"7/1/13 17:00",281,266.30741
"7/1/13 18:00",108.12,107.30167
"7/1/13 19:00",17.28,16.36312
"7/1/13 20:00",4.51,0
"7/1/13 21:00",0,0
"7/1/13 22:00",0,0
"7/1/13 23:00",0,0
"7/2/13 0:00",0,0
"7/2/13 1:00",0,0
"7/2/13 2:00",0,0
"7/2/13 3:00",0,0
"7/2/13 4:00",0,0
"7/2/13 5:00",1.88,0
"7/2/13 6:00",40.76,23.5987
"7/2/13 7:00",176.88,95.14441
"7/2/13 8:00",372.68,262.92665
"7/2/13 9:00",538.96,428.62271
"7/2/13 10:00",633.95,593.32047
"7/2/13 11:00",699.38,703.29436
"7/2/13 12:00",699.01,701.84041
"7/2/13 13:00",717.06,697.91461
"7/2/13 14:00",714.34,660.82396
"7/2/13 15:00",626.93,502.26158
"7/2/13 16:00",478.93,435.35791
"7/2/13 17:00",296,254.09333
"7/2/13 18:00",105.6,108.94412
"7/2/13 19:00",14.42,15.10589
"7/2/13 20:00",0.41,0
"7/2/13 21:00",0,0
"7/2/13 22:00",0,0
"7/2/13 23:00",0,0
"7/3/13 0:00",0,0
"7/3/13 1:00",0,0
"7/3/13 2:00",0,0
"7/3/13 3:00",0,0
"7/3/13 4:00",0,0
"7/3/13 5:00",1.71,0
"7/3/13 6:00",33.89,30.72213
"7/3/13 7:00",171.32,126.66914
"7/3/13 8:00",342.49,285.84484
"7/3/13 9:00",537.51,410.4093
"7/3/13 10:00",641.07,558.12405
"7/3/13 11:00",712.94,626.70239
"7/3/13 12:00",688.85,692.29839
"7/3/13 13:00",701.7,654.9163
"7/3/13 14:00",689.87,536.51431
