,Total demand,Total fixed costs,Total generation costs,Total costs,Total load shedding,Total over generation,Total reserve shortfall,Total renewables curtailment,Total on/offs,Total sum on/off ramps,Total sum nominal ramps,Maximum observed demand,Overall renewables penetration rate,Cumulative average price,Renewables available,Renewables used
0,120148.293623,1284186.51,505271.72295,1789458.23295,0.0,0.0,0.0,403.397919,6,510.0,6573.023067,6315.196484,37.15036,14.893747,45038.921209,44635.523289
1,120147.951919,1284186.51,586388.466178,1870574.976178,0.0,0.0,0.0,1211.29337,6,510.0,9123.746505,6315.103351,34.334611,15.568929,42463.624778,41252.331408
2,120147.75265,1284186.51,583939.218537,1868125.728537,206.71553,0.0,0.0,1128.763435,6,510.0,8307.78368,6315.076965,34.147335,15.54857,42156.018822,41027.255386
3,120147.62436,1284186.51,519279.990686,1803466.500686,0.0,0.0,0.0,1793.141069,6,510.0,10761.201269,6315.078132,36.708447,15.010422,45897.467977,44104.326908
4,120148.779163,1284186.51,572451.434917,1856637.944917,118.947823,0.0,0.0,397.283147,6,510.0,8522.727733,6315.201513,34.489806,15.452824,41836.363798,41439.080651
5,120148.157356,1284186.51,584207.576258,1868394.086258,0.0,0.0,0.0,961.056818,6,510.0,9185.758839,6315.107812,34.269096,15.550751,42134.743632,41173.686814
6,120147.852423,1284186.51,566420.184736,1850606.694736,0.0,0.0,0.0,531.879558,6,510.0,8482.599877,6315.175685,34.847233,15.402745,42400.081342,41868.201784
7,120147.803449,1284186.51,515052.987255,1799239.497255,784.410719,0.0,0.0,962.80321,6,510.0,7986.90717,6315.027274,36.500604,14.975218,44817.477537,43854.674327
8,120148.063422,1284186.51,567414.151459,1851600.661459,720.008137,0.0,0.0,1366.120364,6,510.0,6747.077589,6315.163518,34.431841,15.41099,42735.311026,41369.190662
9,120146.887483,1284186.51,576055.890192,1860242.400192,429.055066,0.0,0.0,1812.050523,6,510.0,9938.444357,6315.020078,34.574809,15.483068,43352.606887,41540.556365
10,120147.625972,1284186.51,548117.420386,1832303.930386,0.0,0.0,0.0,2144.07455,6,510.0,7535.668403,6315.005976,35.65174,15.250438,44978.793987,42834.719437
11,120147.677082,1284186.51,535889.748864,1820076.258864,0.0,0.0,0.0,327.648397,6,510.0,9471.135014,6315.157769,36.068948,15.14866,43663.651819,43336.003422
12,120147.638439,1284186.51,612164.34227,1896350.85227,1348.31515,0.0,0.0,516.398378,6,510.0,8310.202348,6315.13395,32.529846,15.783505,39600.239994,39083.841616
13,120147.318083,1284186.51,629586.025234,1913772.535234,1015.420484,0.0,0.0,869.893292,6,510.0,11858.037346,6314.962804,32.204238,15.92855,39562.421843,38692.528551
14,120148.243359,1284186.51,540591.891125,1824778.401125,679.419706,0.0,0.0,1571.686081,6,510.0,6684.25587,6315.136088,35.795915,15.187724,44579.849384,43008.163302
15,120147.5185,1284186.51,616390.527807,1900577.037807,838.785286,0.0,0.0,1429.279168,6,510.0,9737.575001,6315.032134,32.694284,15.818696,40710.650167,39281.371
16,120148.483212,1284186.51,504757.288958,1788943.798958,0.0,0.0,0.0,1228.212337,6,510.0,7464.152947,6314.996831,37.118435,14.889441,45825.448416,44597.236079
17,120147.839831,1284186.51,531671.035776,1815857.545776,0.0,0.0,0.0,1161.945842,6,510.0,7091.82993,6315.108479,36.024301,15.113526,44444.365176,43282.419333
18,120147.654139,1284186.51,529849.764973,1814036.274973,0.0,0.0,0.0,1039.633399,6,510.0,6170.994939,6315.226776,36.078314,15.098391,44386.881092,43347.247693
19,120147.862487,1284186.51,532930.501925,1817117.011925,0.0,0.0,0.0,1259.084007,6,510.0,6545.921857,6315.130935,36.186777,15.124006,44736.722869,43477.638862
20,120148.420382,1284186.51,515729.750811,1799916.260811,0.0,0.0,0.0,1294.049351,6,510.0,5205.448153,6315.003276,36.872567,14.980773,45595.856741,44301.80739
21,120147.332629,1284186.51,606110.823522,1890297.333522,0.0,0.0,0.0,1006.556623,6,510.0,8466.033179,6314.851679,33.487451,15.733161,41240.83602,40234.279397
22,120148.085221,1284186.51,607148.841131,1891335.351131,0.0,0.0,0.0,1136.735571,6,510.0,9429.441684,6315.059278,33.375393,15.741702,41236.631693,40099.896123
23,120147.622827,1284186.51,550075.530465,1834262.040465,0.0,0.0,0.0,752.197723,6,510.0,8700.27884,6315.175824,35.451031,15.266736,43345.76906,42593.571337
24,120147.796725,1284186.51,526607.551545,1810794.061545,0.0,0.0,0.0,1190.927537,6,510.0,9321.781844,6315.045322,36.570938,15.071388,45130.103677,43939.176139
25,120147.43205,1284186.51,587488.9392,1871675.4492,65.441714,0.0,0.0,1340.503904,6,510.0,7112.814281,6315.050871,34.281876,15.578156,42529.297859,41188.793955
26,120147.755333,1284186.51,581369.238622,1865555.748622,322.795197,0.0,0.0,28.27104,6,510.0,8422.8948,6315.043537,34.160663,15.527179,41071.540471,41043.269431
27,120148.167061,1284186.51,594788.617482,1878975.127482,0.0,0.0,0.0,825.680952,6,510.0,7109.85232,6315.103165,33.800903,15.638816,41436.846382,40611.16543
28,120147.75528,1284186.51,581283.998611,1865470.508611,640.202787,0.0,0.0,589.701839,6,510.0,7766.799496,6315.204173,33.845814,15.52647,41254.687847,40664.986008
29,120148.24844,1284186.51,566270.031951,1850456.541951,0.0,0.0,0.0,1399.278485,6,510.0,6671.853973,6314.893584,35.051699,15.401444,43513.281371,42114.002887
30,120148.140587,1284186.51,570579.740128,1854766.250128,0.0,0.0,0.0,1683.501975,6,510.0,9200.541703,6315.036874,34.912494,15.437328,43630.214922,41946.712947
31,120147.783154,1284186.51,504500.712801,1788687.222801,0.0,0.0,0.0,1994.655714,6,510.0,7872.544853,6315.052183,37.341283,14.887393,46859.37959,44864.723876
32,120147.768643,1284186.51,573240.275108,1857426.785108,0.0,0.0,0.0,1315.895672,6,510.0,7307.116594,6315.053811,35.028666,15.45952,43402.05607,42086.160398
33,120147.63137,1284186.51,568325.305656,1852511.815656,541.144761,0.0,0.0,443.184922,6,510.0,7308.971092,6315.176787,34.312334,15.41863,41668.641895,41225.456973
34,120147.806301,1284186.51,543915.624503,1828102.134503,175.05679,0.0,0.0,748.366291,6,510.0,4713.135979,6315.125251,35.754044,15.215443,43706.065254,42957.698962
35,120147.832332,1284186.51,578938.388344,1863124.898344,0.0,0.0,0.0,87.871686,6,510.0,7710.363644,6315.077024,34.322239,15.506937,41325.297527,41237.42584
36,120147.375301,1284186.51,586199.119383,1870385.629383,1046.414223,0.0,0.0,2058.278951,6,510.0,9207.30148,6314.900395,33.460444,15.567428,42260.124631,40201.845679
